Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,12106780,12113950,12003380,12022550,12022550,93301
2018-11-13,12022580,12051150,11961950,12029950,12029950,121727
2018-11-14,12030780,12164580,11976050,12109180,12109180,134797
2018-11-15,12109050,12163780,12075280,12138980,12138980,128949
2018-11-16,12138980,12252180,12137750,12210850,12210850,113774
2018-11-18,12219350,12226380,12215150,12224680,12224680,1962
2018-11-19,12224580,12252880,12179550,12240680,12240680,81132
2018-11-20,12240780,12286980,12198380,12215850,12215850,109146
2018-11-21,12215850,12300780,12196950,12256850,12256850,77730
2018-11-22,12256880,12290150,12247950,12273350,12273350,45384
2018-11-23,12273350,12284880,12202580,12228850,12228850,66977
2018-11-25,12232980,12243450,12232250,12243250,12243250,2602
2018-11-26,12243250,12279580,12216350,12225950,12225950,73607
2018-11-27,12226050,12251950,12118350,12144180,12144180,88969
2018-11-28,12144180,12266480,12111280,12209750,12209750,85003
2018-11-29,12209850,12289180,12206280,12242280,12242280,89499
2018-11-30,12241980,12254750,12166050,12220250,12220250,76114
2018-12-02,12229480,12233980,12219080,12220080,12220080,1909
2018-12-03,12220080,12348980,12212050,12311280,12311280,99218
2018-12-04,12311280,12418780,12304180,12386850,12386850,104769
2018-12-05,12386750,12389980,12332450,12382050,12382050,62272
2018-12-06,12382480,12442480,12346850,12373350,12373350,115216
2018-12-07,12373350,12499680,12372450,12482050,12482050,96062
2018-12-09,12496750,12508280,12487750,12489450,12489450,2505
2018-12-10,12489550,12502580,12415150,12440650,12440650,103093
2018-12-11,12440550,12494250,12409580,12430550,12430550,98317
2018-12-12,12430650,12471780,12419050,12460880,12460880,92808
2018-12-13,12460880,12466680,12400480,12424050,12424050,83576
2018-12-14,12423950,12429480,12328580,12381150,12381150,88656
2018-12-16,12390150,12390550,12357650,12370250,12370250,1422
2018-12-17,12370250,12480380,12357250,12457980,12457980,76824
2018-12-18,12458180,12503480,12449950,12494180,12494180,71598
2018-12-19,12494080,12579550,12416050,12440650,12440650,120087
2018-12-20,12440750,12663980,12426550,12619050,12619050,136292
2018-12-21,12619250,12626580,12540000,12554350,12554350,108498
2018-12-23,12573480,12590250,12568480,12588150,12588150,1849
2018-12-24,12588150,12699550,12587380,12689350,12689350,80282
2018-12-25,12687650,12708850,12670050,12671250,12671250,1414
2018-12-26,12671650,12790180,12641680,12690650,12690650,95002
2018-12-27,12690650,12789280,12665880,12746950,12746950,138921
2018-12-28,12745950,12820680,12742050,12805550,12805550,121105
2018-12-30,12802350,12806550,12788480,12797080,12797080,1750
2018-12-31,12796850,12839980,12773650,12821850,12821850,75577
2019-01-01,12822950,12823450,12805980,12811180,12811180,1728
2019-01-02,12811180,12901480,12786250,12858150,12858150,114322
2019-01-03,12857950,12952180,12844850,12951180,12951180,144305
2019-01-04,12951350,12985380,12765650,12849450,12849450,138283
2019-01-06,12850480,12863550,12840450,12841550,12841550,2318
2019-01-07,12841580,12949980,12825550,12888150,12888150,102645
2019-01-08,12888250,12901580,12793150,12850750,12850750,100369
2019-01-09,12851250,12938480,12800000,12928780,12928780,102334
2019-01-10,12928480,12970180,12860350,12879050,12879050,108986
2019-01-11,12879050,12950880,12869280,12871750,12871750,100673
2019-01-13,12873480,12885450,12872480,12880650,12880650,1395
2019-01-14,12880550,12958050,12878880,12914080,12914080,92270
2019-01-15,12914050,12946850,12866650,12895650,12895650,105923
2019-01-16,12895650,12949150,12878050,12928850,12928850,90696
2019-01-17,12928780,12953180,12888750,12922350,12922350,93513
2019-01-18,12922450,12923680,12805550,12812650,12812650,85396
2019-01-20,12814550,12832050,12814550,12825250,12825250,1394
2019-01-21,12825250,12834650,12767180,12796150,12796150,42754
2019-01-22,12796150,12854250,12773650,12844980,12844980,78495
2019-01-23,12844980,12864380,12786050,12836950,12836950,78992
2019-01-24,12836850,12847250,12765850,12813250,12813250,91218
2019-01-25,12813350,13035250,12800000,13029350,13029350,85787
2019-01-27,13013350,13025050,12998950,12999650,12999650,1711
2019-01-28,12999650,13043350,12976150,13037780,13037780,75261
2019-01-29,13038780,13119480,13026350,13106450,13106450,87929
2019-01-30,13106680,13232980,13089450,13191380,13191380,95444
2019-01-31,13191380,13262480,13173850,13209950,13209950,93510
2019-02-01,13209950,13234650,13160850,13172650,13172650,82639
2019-02-03,13179250,13189650,13164650,13170950,13170950,1302
2019-02-04,13170750,13174550,13085350,13116780,13116780,71987
2019-02-05,13116750,13168250,13106250,13148980,13148980,73914
2019-02-06,13148350,13157650,13055150,13065650,13065650,73551
2019-02-07,13065250,13118780,13027050,13103650,13103650,82099
2019-02-08,13103750,13155680,13076980,13139450,13139450,71591
2019-02-10,13140980,13140980,13132450,13135980,13135980,1129
2019-02-11,13135980,13148150,13035950,13076950,13076950,72392
2019-02-12,13076750,13146680,13064050,13102050,13102050,63994
2019-02-13,13102050,13180780,13049750,13075450,13075450,76927
2019-02-14,13075450,13143080,13022880,13118750,13118750,95605
2019-02-15,13118750,13225550,13113280,13210350,13210350,77963
2019-02-17,13208820,13214450,13204050,13210580,13210580,1536
